rilis;pubid;judul_pre;judul;link
2020/06/29;a2ebb1008a7c068b73ef7aee;Statistik Pemuda Provinsi Kalimantan Tengah 2019;Statistik-Pemuda-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/06/29/a2ebb1008a7c068b73ef7aee/Statistik-Pemuda-Provinsi-Kalimantan-Tengah-2019
2020/06/26;fe671b581c737d37eafbe4f6;Harga Produsen Gabah Provinsi Kalimantan Tengah 2019;Harga-Produsen-Gabah-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/06/26/fe671b581c737d37eafbe4f6/Harga-Produsen-Gabah-Provinsi-Kalimantan-Tengah-2019
2020/06/26;aced54000a42d6b32c8c7696;Indeks Pembangunan Manusia Provinsi Kalimantan Tengah 2019;Indeks-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/06/26/aced54000a42d6b32c8c7696/Indeks-Pembangunan-Manusia-Provinsi-Kalimantan-Tengah-2019
2020/06/15;714c3191083ead9252a210eb;Statistik Kependudukan Kalimantan Tengah 2019;Statistik-Kependudukan-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/06/15/714c3191083ead9252a210eb/Statistik-Kependudukan-Kalimantan-Tengah-2019
2020/06/15;05e0928775c0d73eac1d0413;Statistik Ketenagakerjaan Provinsi Kalimantan Tengah Agustus 2019;Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Agustus-2019;https://kalteng.bps.go.id/publication/2020/06/15/05e0928775c0d73eac1d0413/Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Agustus-2019
2020/06/12;fc34a3be01401db30af20f09;Laporan Sosial Ekonomi Kalimantan Tengah Edisi Juni 2020;Laporan-Sosial-Ekonomi-Kalimantan-Tengah-Edisi-Juni-2020;https://kalteng.bps.go.id/publication/2020/06/12/fc34a3be01401db30af20f09/Laporan-Sosial-Ekonomi-Kalimantan-Tengah-Edisi-Juni-2020
2020/05/29;6c3f006edec1834bf8fa00c9;Produk Domestik Regional Bruto Kabupaten/Kota Se-Provinsi kalimantan Tengah Menurut Pengeluaran 2015-2019;Produk-Domestik-Regional-Bruto-Kabupaten-Kota-Se-Provinsi-kalimantan-Tengah-Menurut-Pengeluaran-2015-2019;https://kalteng.bps.go.id/publication/2020/05/29/6c3f006edec1834bf8fa00c9/Produk-Domestik-Regional-Bruto-Kabupaten-Kota-Se-Provinsi-kalimantan-Tengah-Menurut-Pengeluaran-2015-2019
2020/05/20;fa0f8a2748a4ab4c33ed6eef;Indikator Kesejahteraan Rakyat Provinsi Kalimantan Tengah 2019;Indikator-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/05/20/fa0f8a2748a4ab4c33ed6eef/Indikator-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019
2020/05/20;5fcfc9719195b6b27a9b977f;Statistik Kesejahteraan Anak Provinsi Kalimantan Tengah 2019;Statistik-Kesejahteraan-Anak-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/05/20/5fcfc9719195b6b27a9b977f/Statistik-Kesejahteraan-Anak-Provinsi-Kalimantan-Tengah-2019
2020/05/20;2a623c7d28c622b03fd90f40;Statistik Perdagangan Luar Negeri Provinsi Kalimantan Tengah 2019;Statistik-Perdagangan-Luar-Negeri-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/05/20/2a623c7d28c622b03fd90f40/Statistik-Perdagangan-Luar-Negeri-Provinsi-Kalimantan-Tengah-2019
2020/04/30;e48b86ca9990c3b488e2381f;Produk Domestik Regional Bruto Provinsi Kalimantan Tengah Menurut Pengeluaran 2015-2019;Produk-Domestik-Regional-Bruto-Provinsi-Kalimantan-Tengah-Menurut-Pengeluaran-2015-2019;https://kalteng.bps.go.id/publication/2020/04/30/e48b86ca9990c3b488e2381f/Produk-Domestik-Regional-Bruto-Provinsi-Kalimantan-Tengah-Menurut-Pengeluaran-2015-2019
2020/04/30;a45e98596586a885ee3c152c;Produk Domestik Regional Bruto Kabupaten/Kota se-Provinsi Kalimantan Tengah Menurut Lapangan Usaha 2015-2019;Produk-Domestik-Regional-Bruto-Kabupaten-Kota-se-Provinsi-Kalimantan-Tengah-Menurut-Lapangan-Usaha-2015-2019;https://kalteng.bps.go.id/publication/2020/04/30/a45e98596586a885ee3c152c/Produk-Domestik-Regional-Bruto-Kabupaten-Kota-se-Provinsi-Kalimantan-Tengah-Menurut-Lapangan-Usaha-2015-2019
2020/04/30;7a0119ae4568ce3cec9a8d0a;Produk Domestik Regional Bruto Provinsi Kalimantan Tengah Menurut Lapangan Usaha 2015-2019;Produk-Domestik-Regional-Bruto-Provinsi-Kalimantan-Tengah-Menurut-Lapangan-Usaha-2015-2019;https://kalteng.bps.go.id/publication/2020/04/30/7a0119ae4568ce3cec9a8d0a/Produk-Domestik-Regional-Bruto-Provinsi-Kalimantan-Tengah-Menurut-Lapangan-Usaha-2015-2019
2020/04/28;8b9e65408423e4c09e6ccb0e;Indeks Harga Konsumen Kota Palangka Raya dan Kota Sampit 2019;Indeks-Harga-Konsumen-Kota-Palangka-Raya-dan-Kota-Sampit-2019;https://kalteng.bps.go.id/publication/2020/04/28/8b9e65408423e4c09e6ccb0e/Indeks-Harga-Konsumen-Kota-Palangka-Raya-dan-Kota-Sampit-2019
2020/04/27;b7a4b35150ad5fd151230c48;Provinsi Kalimantan Tengah Dalam Angka 2020;Provinsi-Kalimantan-Tengah-Dalam-Angka-2020;https://kalteng.bps.go.id/publication/2020/04/27/b7a4b35150ad5fd151230c48/Provinsi-Kalimantan-Tengah-Dalam-Angka-2020
2020/04/27;63d725dbf0c1f7e2b56cc56e;Statistik Pendidikan Provinsi Kalimantan Tengah 2019;Statistik-Pendidikan-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/04/27/63d725dbf0c1f7e2b56cc56e/Statistik-Pendidikan-Provinsi-Kalimantan-Tengah-2019
2020/04/08;7744a65c6950ef3fcc753eb1;Statistik Air Bersih Provinsi Kalimantan Tengah 2018;Statistik-Air-Bersih-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/04/08/7744a65c6950ef3fcc753eb1/Statistik-Air-Bersih-Provinsi-Kalimantan-Tengah-2018
2020/03/30;aa8eb6055a9dd588bb69a3c1;Guntingan Pers Provinsi Kalimantan Tengah 2019;Guntingan-Pers-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/03/30/aa8eb6055a9dd588bb69a3c1/Guntingan-Pers-Provinsi-Kalimantan-Tengah-2019
2020/03/27;f19dc5fa1e15c9d1db5f0db5;Nilai Tukar Petani Provinsi Kalimantan Tengah 2019;Nilai-Tukar-Petani-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/03/27/f19dc5fa1e15c9d1db5f0db5/Nilai-Tukar-Petani-Provinsi-Kalimantan-Tengah-2019
2020/03/27;92c167081a22e62cfd380c67;Peta Tematik Kemiskinan Menurut Kabupaten/Kota di Provinsi Kalimantan Tengah 2007-2018;Peta-Tematik-Kemiskinan-Menurut-Kabupaten-Kota-di-Provinsi-Kalimantan-Tengah-2007-2018;https://kalteng.bps.go.id/publication/2020/03/27/92c167081a22e62cfd380c67/Peta-Tematik-Kemiskinan-Menurut-Kabupaten-Kota-di-Provinsi-Kalimantan-Tengah-2007-2018
2020/03/27;3de8b42e68804f8657891e7a;Kaleidoskop Infografis BPS Provinsi Kalimantan Tengah 2019;Kaleidoskop-Infografis-BPS-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/03/27/3de8b42e68804f8657891e7a/Kaleidoskop-Infografis-BPS-Provinsi-Kalimantan-Tengah-2019
2020/03/13;bf3c54e0e497f092bb82a012;Laporan Sosial Ekonomi Provinsi Kalimantan Tengah Edisi Maret 2020;Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Maret-2020;https://kalteng.bps.go.id/publication/2020/03/13/bf3c54e0e497f092bb82a012/Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Maret-2020
2020/02/28;80e7c278ef7a8f07e436def4;Master File Desa Provinsi Kalimantan Tengah Desember 2019;Master-File-Desa-Provinsi-Kalimantan-Tengah-Desember-2019;https://kalteng.bps.go.id/publication/2020/02/28/80e7c278ef7a8f07e436def4/Master-File-Desa-Provinsi-Kalimantan-Tengah-Desember-2019
2020/02/28;3ae14a4a301c12d5b6dd4b1b;Provinsi Kalimantan Tengah Dalam Angka 2020, Penyediaan Data Untuk Perencanaan Pembangunan;Provinsi-Kalimantan-Tengah-Dalam-Angka-2020--Penyediaan-Data-Untuk-Perencanaan-Pembangunan;https://kalteng.bps.go.id/publication/2020/02/28/3ae14a4a301c12d5b6dd4b1b/Provinsi-Kalimantan-Tengah-Dalam-Angka-2020--Penyediaan-Data-Untuk-Perencanaan-Pembangunan
2020/02/21;f6a5f9a077a626885d6da0e9;Indeks Tendensi Konsumen Provinsi Kalimantan Tengah 2019;Indeks-Tendensi-Konsumen-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/02/21/f6a5f9a077a626885d6da0e9/Indeks-Tendensi-Konsumen-Provinsi-Kalimantan-Tengah-2019
2020/02/21;97ddd93c136a7d29961f11ba;Hasil Survei Kebutuhan Data Provinsi Kalimantan Tengah Tahun 2019;Hasil-Survei-Kebutuhan-Data-Provinsi-Kalimantan-Tengah-Tahun-2019;https://kalteng.bps.go.id/publication/2020/02/21/97ddd93c136a7d29961f11ba/Hasil-Survei-Kebutuhan-Data-Provinsi-Kalimantan-Tengah-Tahun-2019
2020/02/14;a4414166bfab6b617d2f54fa;Berita Resmi Statistik Provinsi Kalimantan Tengah 2019;Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/02/14/a4414166bfab6b617d2f54fa/Berita-Resmi-Statistik-Provinsi-Kalimantan-Tengah-2019
2020/01/31;572855bf8c35edf9b28acf30;Katalog Publikasi Provinsi Kalimantan Tengah 2019;Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2020/01/31/572855bf8c35edf9b28acf30/Katalog-Publikasi-Provinsi-Kalimantan-Tengah-2019
2020/01/24;3fe32d5b3bcb5acc3c722f69;Statistik Prioritas Pembangunan Provinsi Kalimantan tengah 2019;Statistik-Prioritas-Pembangunan-Provinsi-Kalimantan-tengah-2019;https://kalteng.bps.go.id/publication/2020/01/24/3fe32d5b3bcb5acc3c722f69/Statistik-Prioritas-Pembangunan-Provinsi-Kalimantan-tengah-2019
2020/01/07;c97ff78ed09dddb9b5c6c8a2;Indeks Pembangunan Desa Provinsi Kalimantan Tengah 2018;Indeks-Pembangunan-Desa-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/01/07/c97ff78ed09dddb9b5c6c8a2/Indeks-Pembangunan-Desa-Provinsi-Kalimantan-Tengah-2018
2020/01/07;acf33799ca9a83c4b6888ef4;Statistik Politik dan Keamanan Provinsi Kalimantan Tengah 2018;Statistik-Politik-dan-Keamanan-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2020/01/07/acf33799ca9a83c4b6888ef4/Statistik-Politik-dan-Keamanan-Provinsi-Kalimantan-Tengah-2018
2019/12/31;e09ecbd4bc3e8e1898a0b7ba;Statistik Industri Besar dan Sedang Provinsi Kalimantan Tengah 2017;Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2017;https://kalteng.bps.go.id/publication/2019/12/31/e09ecbd4bc3e8e1898a0b7ba/Statistik-Industri-Besar-dan-Sedang-Provinsi-Kalimantan-Tengah-2017
2019/12/31;ba19421da2d9aef0c58db54f;Profil Industri Mikro dan Kecil Provinsi Kalimantan Tengah 2018;Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/31/ba19421da2d9aef0c58db54f/Profil-Industri-Mikro-dan-Kecil-Provinsi-Kalimantan-Tengah-2018
2019/12/31;38f2c722935fd6db34a7d6ca;Potret Tujuan Pembangunan Berkelanjutan Provinsi Kalimantan Tengah 2018;Potret-Tujuan-Pembangunan-Berkelanjutan-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/31/38f2c722935fd6db34a7d6ca/Potret-Tujuan-Pembangunan-Berkelanjutan-Provinsi-Kalimantan-Tengah-2018
2019/12/30;771c173e7a34252fb7d942c7;Statistik Ketahanan Sosial Provinsi Kalimantan Tengah 2018;Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/30/771c173e7a34252fb7d942c7/Statistik-Ketahanan-Sosial-Provinsi-Kalimantan-Tengah-2018
2019/12/30;2377cfc407330843a86545a0;Statistik Kesejahteraan Rakyat Provinsi Kalimantan Tengah 2019;Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2019/12/30/2377cfc407330843a86545a0/Statistik-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2019
2019/12/20;f168ce0b701c2b3f7f232873;Pengeluaran dan Konsumsi Penduduk Provinsi Kalimantan Tengah, Maret 2019;Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah--Maret-2019;https://kalteng.bps.go.id/publication/2019/12/20/f168ce0b701c2b3f7f232873/Pengeluaran-dan-Konsumsi-Penduduk-Provinsi-Kalimantan-Tengah--Maret-2019
2019/12/18;c7b1df3671671ba6102869c3;Statistik Keuangan Daerah Provinsi Kalimantan Tengah 2018;Statistik-Keuangan-Daerah-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/18/c7b1df3671671ba6102869c3/Statistik-Keuangan-Daerah-Provinsi-Kalimantan-Tengah-2018
2019/12/13;ec90f1789b8fe67bb31e82af;Statistik Ketenagakerjaan Provinsi Kalimantan Tengah Februari 2019;Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Februari-2019;https://kalteng.bps.go.id/publication/2019/12/13/ec90f1789b8fe67bb31e82af/Statistik-Ketenagakerjaan-Provinsi-Kalimantan-Tengah-Februari-2019
2019/12/13;c57d4712bd0a9542602c9448;Laporan Sosial Ekonomi Provinsi Kalimantan Tengah Edisi Desember 2019;Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Desember-2019;https://kalteng.bps.go.id/publication/2019/12/13/c57d4712bd0a9542602c9448/Laporan-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-Edisi-Desember-2019
2019/12/06;c95d24e9925c566ab124fddf;Statistik Pemotongan Ternak Provinsi Kalimantan Tengah 2018;Statistik-Pemotongan-Ternak-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/12/06/c95d24e9925c566ab124fddf/Statistik-Pemotongan-Ternak-Provinsi-Kalimantan-Tengah-2018
2019/11/29;bde9b44fd2d601f0f56060f2;Direktori Perusahaan Konstruksi Provinsi Kalimantan Tengah 2019;Direktori-Perusahaan-Konstruksi-Provinsi-Kalimantan-Tengah-2019;https://kalteng.bps.go.id/publication/2019/11/29/bde9b44fd2d601f0f56060f2/Direktori-Perusahaan-Konstruksi-Provinsi-Kalimantan-Tengah-2019
2019/11/21;08a8c33bdff708c9f533b887;Indikator Kesejahteraan Rakyat Provinsi Kalimantan Tengah 2018;Indikator-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/11/21/08a8c33bdff708c9f533b887/Indikator-Kesejahteraan-Rakyat-Provinsi-Kalimantan-Tengah-2018
2019/11/20;c746f29cd56b813fa96253c0;Indeks Pembangunan Gender Provinsi Kalimantan Tengah 2018;Indeks-Pembangunan-Gender-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/11/20/c746f29cd56b813fa96253c0/Indeks-Pembangunan-Gender-Provinsi-Kalimantan-Tengah-2018
2019/11/15;cf3ddc811fc3d52acb6d5724;Peta Tematik Indikator Sosial Ekonomi Provinsi Kalimantan Tengah 2018;Peta-Tematik-Indikator-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-2018;https://kalteng.bps.go.id/publication/2019/11/15/cf3ddc811fc3d52acb6d5724/Peta-Tematik-Indikator-Sosial-Ekonomi-Provinsi-Kalimantan-Tengah-2018
